major; description
General Agriculture; A broad study of agricultural practices including crop and livestock management.  
Agriculture Production and Management; Focuses on managing agricultural operations and production processes.  
Agricultural Economics; Examines economic principles applied to agriculture and the agribusiness sector.  
Animal Sciences; Studies the biology and management of domestic and wild animals.  
Food Science; Explores the chemistry biology and technology involved in food production and safety.  
Plant Science and Agronomy; Focuses on plant biology and the science of crop production.  
Soil Science; Studies the formation classification and mapping of soils in relation to agriculture.  
Miscellaneous Agriculture; Covers specialized topics in agriculture not categorized elsewhere.  
Forestry; Focuses on the management and conservation of forests and related resources.  
Natural Resources Management; Examines the sustainable use and conservation of natural resources.  
Fine Arts; A broad study of artistic expression including visual and performing arts.  
Drama and Theater Arts; Explores the art of acting directing and producing theatrical performances.  
Music; Focuses on the theory performance and history of music across various genres.  
Visual and Performing Arts; Covers various artistic disciplines including visual arts dance and theater.  
Commercial Art and Graphic Design; Studies the creation of visual content for commercial purposes.  
Film Video and Photographic Arts; Focuses on film production video editing and photography techniques.  
Studio Arts; Explores hands-on artistic practices in various mediums including painting and sculpture.  
Miscellaneous Fine Arts; Covers specialized topics in fine arts not specifically categorized.  
Environmental Science; Studies the interactions between human activities and the environment.  
Biology; The study of living organisms their structures functions and interactions.  
Biochemical Sciences; Explores the chemical processes and substances that occur within living organisms.  
Botany; Focuses on the study of plants their biology and ecological significance.  
Molecular Biology; Examines the molecular mechanisms that govern biological processes.  
Ecology; Studies the relationships between organisms and their environments.  
Genetics; Focuses on heredity genetic variation and the role of genes in living organisms.  
Microbiology; The study of microscopic organisms including bacteria viruses and fungi.  
Pharmacology; Examines the effects of drugs and their mechanisms of action on biological systems.  
Physiology; Studies the functions and processes of living organisms and their parts.  
Zoology; Focuses on the study of animals their behavior and physiology.  
Miscellaneous Biology; Covers specialized topics in biology not specifically categorized.  
Cognitive Science and Biopsychology; Examines the interplay between cognition and biological processes.  
General Business; A broad study of business principles and practices across various sectors.  
Accounting; Focuses on the measurement and reporting of financial transactions.  
Actuarial Science; Applies mathematical and statistical methods to assess risk in insurance and finance.  
Business Management and Administration; Examines the principles of managing organizations and operations.  
Operations Logistics and E-Commerce; Focuses on the management of supply chains and online business practices.  
Business Economics; Studies economic principles in the context of business decision-making.  
Marketing and Marketing Research; Explores strategies for promoting and selling products and services.  
Finance; Focuses on the management of money investments and financial markets.  
Human Resources and Personnel Management; Examines the management of workforce recruitment and development.  
International Business; Studies global business practices and cross-border transactions.  
Hospitality Management; Focuses on managing services in the hospitality and tourism industries.  
Management Information Systems and Statistics; Explores the use of information systems in business decision-making.  
Miscellaneous Business & Medical Administration; Covers specialized topics in business and healthcare administration.  
Communications; Studies the principles and practices of effective communication in various media.  
Journalism; Focuses on the gathering writing and reporting of news and information.  
Mass Media; Examines the role of mass communication in society.  
Advertising and Public Relations; Explores strategies for promoting products and managing public perception.  
Communication Technologies; Focuses on the technologies used in communication and information sharing.  
Computer and Information Systems; Studies the design and management of computer systems and networks.  
Computer Programming and Data Processing; Focuses on writing software and processing data.  
Computer Science; A comprehensive study of computing technology and its applications.  
Information Sciences; Examines the collection analysis and dissemination of information.  
Computer Administration Management and Security; Focuses on managing computer systems and ensuring data security.  
Computer Networking and Telecommunications; Studies the principles of network design and communication systems.  
Mathematics; The study of numbers quantities and space using abstract concepts and relationships.  
Applied Mathematics; Focuses on mathematical techniques used in real-world applications.  
Statistics and Decision Science; Examines statistical methods for data analysis and decision-making.  
Mathematics and Computer Science; Integrates mathematical principles with computer science applications.  
General Education; Provides a broad foundation in various academic disciplines.  
Educational Administration and Supervision; Focuses on managing and leading educational institutions.  
School Student Counseling; Examines strategies for supporting students’ academic and personal development.  
Elementary Education; Prepares students to teach at the elementary school level.  
Mathematics Teacher Education; Focuses on preparing educators to teach mathematics effectively.  
Physical and Health Education Teaching; Prepares students to teach physical education and health.  
Early Childhood Education; Studies the development and education of young children.  
Science and Computer Teacher Education; Prepares educators to teach science and computer subjects.  
Secondary Teacher Education; Focuses on preparing teachers for middle and high school education.  
Special Needs Education; Examines strategies for teaching students with diverse learning needs.  
Social Science or History Teacher Education; Prepares educators to teach social studies and history.  
Teacher Education: Multiple Levels; Focuses on preparing teachers for various educational levels.  
Language and Drama Education; Examines teaching strategies for language arts and drama subjects.  
Art and Music Education; Prepares educators to teach visual arts and music.  
Miscellaneous Education; Covers specialized topics in education not specifically categorized.  
Library Science; Studies the management and organization of information resources.  
Architecture; Focuses on the design and planning of buildings and structures.  
General Engineering; A broad study of engineering principles and practices.  
Aerospace Engineering; Focuses on the design and development of aircraft and spacecraft.  
Biological Engineering; Applies engineering principles to biological systems and processes.  
Architectural Engineering; Examines the technical aspects of building design and construction.  
